	-0.32	-0.92	2387
0.19	-0.33	-0.93	2392
0.19	-0.33	-0.93	2397
0.20	-0.33	-0.93	2402
0.19	-0.33	-0.93	2407
0.19	-0.33	-0.93	2412
0.18	-0.34	-0.93	2416
0.18	-0.34	-0.93	2421
0.18	-0.32	-0.94	2426
0.18	-0.32	-0.93	2432
0.17	-0.32	-0.93	2437
0.15	-0.32	-0.93	2442
0.15	-0.31	-0.92	2447
0.15	-0.31	-0.91	2451
0.15	-0.30	-0.91	2456
0.15	-0.31	-0.90	2461
0.15	-0.30	-0.89	2466
0.15	-0.31	-0.89	2471
0.15	-0.30	-0.89	2476
0.16	-0.30	-0.90	2481
0.16	-0.31	-0.89	2486
0.16	-0.31	-0.88	2491
0.17	-0.31	-0.89	2496
0.17	-0.31	-0.89	2500
0.18	-0.31	-0.89	2505
0.18	-0.31	-0.89	2510
0.19	-0.32	-0.89	2515
0.18	-0.32	-0.89	2521
0.21	-0.31	-0.90	2526
0.21	-0.32	-0.91	2531
0.21	-0.31	-0.90	2535
0.22	-0.32	-0.91	2540
0.21	-0.33	-0.92	2545
0.20	-0.34	-0.90	2550
0.21	-0.35	-0.89	2555
0.22	-0.34	-0.89	2560
0.23	-0.34	-0.90	2565
0.24	-0.34	-0.91	2570
0.24	-0.33	-0.92	2575
0.25	-0.33	-0.92	2580
0.25	-0.31	-0.93	2584
0.25	-0.32	-0.92	2589
0.25	-0.33	-0.92	2594
0.24	-0.32	-0.91	2599
0.24	-0.33	-0.89	2605
0.23	-0.34	-0.87	2610
0.22	-0.34	-0.88	2615
0.22	-0.34	-0.87	2620
0.22	-0.34	-0.87	2624
0.22	-0.33	-0.89	2629
0.23	-0.32	-0.90	2634
0.23	-0.31	-0.91	2639
0.22	-0.32	-0.90	2644
0.22	-0.33	-0.90	2649
0.20	-0.34	-0.88	2654
0.19	-0.35	-0.88	2659
0.19	-0.35	-0.86	2664
0.18	-0.35	-0.87	2669
0.18	-0.35	-0.88	2673
0.19	-0.34	-0.89	2678
0.19	-0.33	-0.90	2683
0.19	-0.33	-0.92	2689
0.20	-0.33	-0.91	2694
0.20	-0.33	-0.91	2699
0.19	-0.33	-0.90	2704
0.18	-0.33	-0.89	2708
0.17	-0.33	-0.88	2713
0.17	-0.33	-0.89	2718
0.16	-0.32	-0.88	2723
0.16	-0.32	-0.89	2728
